City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,cole harbour,44.6724,-63.4751,11.66,97,100,2.57,CA,1687140081
149,benguela,-12.5763,13.4055,20.1,87,1,2.76,AO,1687140033
150,port mathurin,-19.6833,63.4167,23.1,58,18,7.5,MU,1687140081
151,island harbour,50.724,-1.2758,16.63,94,5,0.45,GB,1687140082
152,susangerd,31.5608,48.1831,30.72,19,0,8.05,IR,1687140082
153,las tablas,7.7667,-80.2833,27.12,85,11,1.1,PA,1687140082
154,muravlenko,63.7898,74.523,6.67,76,94,3.09,RU,1687140082
155,sovetskaya gavan',48.9723,140.2878,14.74,67,12,3.31,RU,1687140083
156,puerto deseado,-47.7503,-65.8938,3.06,53,0,5.54,AR,1687140083
157,ahiri,19.4,80.0167,34.31,41,95,2.39,IN,1687140083
158,ostersund,63.1792,14.6357,16.25,31,100,3.6,SE,1687140019
159,gadzhiyevo,69.2551,33.3362,7.05,86,100,5.5,RU,1687140083
160,homer,59.6425,-151.5483,14.34,68,100,1.59,US,1687140084
161,inari,68.906,27.0288,13.11,69,75,1.33,FI,1687140084
162,vorgashor,67.5833,63.95,2.2,99,100,3.1,RU,1687140084
163,whitehorse,60.7161,-135.0538,17.43,45,75,9.26,CA,1687139936
164,sergeyevka,53.88,67.4158,16.17,86,100,4.2,KZ,1687140085
165,merowe,18.4833,31.8167,32.06,11,0,4.39,SD,1687140085
166,lompoc,34.6391,-120.4579,20.56,83,100,6.17,US,1687140085
167,happy valley-goose bay,53.3168,-60.3315,10.17,57,75,5.66,CA,1687140085
168,santiago de cao,-7.9589,-79.2392,21.07,88,20,4.12,PE,1687140086
169,thompson,55.7435,-97.8558,21.09,78,75,2.57,CA,1687140086
170,bocas del toro,9.3333,-82.25,24.44,87,95,2.9,PA,1687139824
171,keflavik,64.0049,-22.5624,6.95,87,100,2.06,IS,1687140086
172,tazovsky,67.4667,78.7,1.63,97,100,7.37,RU,1687140068
173,manavalakurichi,8.1333,77.3,27.03,79,100,5.36,IN,1687140087
174,kokologo,12.1897,-1.8856,28.92,60,84,3.59,BF,1687140087
175,nagqu,31.5,92.0,7.28,64,100,2.34,CN,1687140087
176,fort bragg,35.139,-79.006,27.91,63,100,5.66,US,1687139907
177,smithers,54.7804,-127.1743,14.18,58,75,5.14,CA,1687140088
178,alaghsas,17.0187,8.0168,34.04,18,77,3.53,NE,1687140088
179,itaperuna,-21.205,-41.8878,17.0,90,0,1.49,BR,1687140088
180,nova sintra,14.8667,-24.7167,21.18,84,85,6.41,CV,1687140089
181,knyaze-volkonskoye,48.4642,135.4567,26.19,57,10,0.78,RU,1687140090
182,san martin,-33.081,-68.4681,6.3,56,25,0.41,AR,1687140090
183,tavira,37.1273,-7.6486,21.82,62,77,0.45,PT,1687140090
184,guajara mirim,-10.7828,-65.3394,19.28,82,0,1.22,BR,1687140090
185,totness,5.8833,-56.3167,25.24,91,100,3.16,SR,1687140091
186,santa marta,11.2408,-74.199,30.03,76,20,5.14,CO,1687139649
187,dwarka,22.2394,68.9678,29.47,75,96,7.45,IN,1687140091
188,middelburg,-25.7751,29.4648,9.58,36,0,1.14,ZA,1687140091
189,mugia,43.1041,-9.2179,18.28,93,100,3.26,ES,1687140092
190,micheweni,-4.9667,39.8333,24.94,81,0,4.98,TZ,1687140092
191,zheleznogorsk-ilimskiy,56.5768,104.1217,12.72,96,100,2.18,RU,1687140092
192,suhbaatar,50.2314,106.2078,19.87,51,6,3.63,MN,1687140092
193,klyuchi,52.2667,79.1667,22.23,49,73,6.73,RU,1687140093
194,huarmey,-10.0681,-78.1522,21.1,83,95,6.03,PE,1687140093
195,el bauga,18.262,33.9081,32.82,23,54,7.08,SD,1687140093
196,kitui,-1.367,38.0106,14.24,94,6,1.28,KE,1687140093
197,ghadamis,30.1337,9.5007,27.07,14,0,5.74,LY,1687140094
198,la passe,45.5549,-0.8967,17.21,92,100,2.6,FR,1687140094
199,invercargill,-46.4,168.35,10.67,70,60,1.28,NZ,1687140094
200,zhangjiakou,40.81,114.8794,17.67,85,100,2.02,CN,1687140094
201,playa del ingles,27.7567,-15.5787,22.86,83,0,4.26,ES,1687140010
202,fernie,49.5,-115.0687,12.05,65,100,4.19,CA,1687140021
203,villa gesell,-37.2639,-56.973,6.79,78,85,3.5,AR,1687140005
204,sint michiel liber,12.15,-68.9833,27.9,83,20,6.17,CW,1687140064
205,caleta de carquin,-11.0925,-77.6267,20.24,82,66,6.54,PE,1687140095
206,sakakah,29.9697,40.2064,26.76,21,0,2.65,SA,1687140096
207,chonchi,-42.6128,-73.8092,3.95,86,1,1.37,CL,1687140096
208,amanpur,27.7167,78.75,33.16,47,3,6.28,IN,1687140096
209,oke ila,7.951,4.9883,21.78,99,100,2.32,NG,1687140096
210,priargunsk,50.3691,119.1012,19.22,82,100,2.58,RU,1687140096
211,tehri,30.3833,78.4833,26.78,46,54,1.38,IN,1687140097
212,forster,-32.1667,152.5167,19.1,43,0,0.93,AU,1687140097
213,chiras,35.4167,65.9823,17.08,27,0,0.22,AF,1687140097
214,rikaze,29.25,88.8833,13.16,61,51,1.34,CN,1687140097
215,vyazemskiy,47.5378,134.7525,25.26,50,11,2.9,RU,1687140098
216,ghat,24.9647,10.1728,29.78,20,1,2.83,LY,1687140098
217,enewetak,11.3474,162.3373,27.88,78,89,7.29,MH,1687140098
218,tura,25.5198,90.2201,23.32,97,100,2.05,IN,1687140098
219,dodola,6.9833,39.1833,10.28,89,26,1.12,ET,1687140099
220,susuman,62.7833,148.1667,19.45,40,15,2.98,RU,1687140099
221,anadyr,64.75,177.4833,17.28,39,20,7.0,RU,1687140099
222,angaur state,6.906,134.13,28.32,73,71,2.75,PW,1687140099
223,uliastay,47.7417,96.8444,18.02,33,2,0.56,MN,1687140099
224,port elizabeth,-33.918,25.5701,13.39,94,0,2.57,ZA,1687140015
225,beshariq,40.4358,70.6103,29.16,30,74,2.95,UZ,1687140100
226,bridlington,54.0831,-0.1919,16.61,95,100,0.45,GB,1687140100
227,vila velha,-20.3297,-40.2925,21.97,84,75,3.09,BR,1687140080
228,arraial do cabo,-22.9661,-42.0278,20.67,74,0,6.51,BR,1687140094
229,aykhal,66.0,111.5,10.44,54,56,7.5,RU,1687140101
230,castillos,-34.1667,-53.8333,7.24,92,62,1.0,UY,1687140101
231,talnakh,69.4865,88.3972,2.34,99,100,4.8,RU,1687140101
232,hammerfest,70.6634,23.6821,12.25,71,55,2.57,NO,1687140102
233,puerto armuelles,8.2833,-82.8667,27.99,74,98,2.24,PA,1687140102
234,ma'rib,15.4591,45.3253,27.58,28,57,1.97,YE,1687140102
235,ponta delgada,37.7333,-25.6667,19.4,94,75,5.66,PT,1687140102
236,bhamo,24.2667,97.2333,26.96,88,68,1.08,MM,1687140103
237,rio grande,-32.035,-52.0986,9.64,72,6,1.13,BR,1687140103
238,dalnerechensk,45.9339,133.7225,24.82,54,0,1.13,RU,1687140103
239,saint-tropez,43.2693,6.6398,21.9,90,91,2.37,FR,1687140103
240,polyarnyy,69.1989,33.4478,7.11,88,100,5.27,RU,1687140104
241,ofunato,39.0717,141.7167,19.63,62,12,3.14,JP,1687139630
242,ar ruways,24.1103,52.7306,29.03,67,29,3.4,AE,1687140104
243,altus,34.6381,-99.334,31.73,45,0,3.09,US,1687140104
